file,reason
"ELECTROLIT FRESA.png","No matching item by name/description"
"ELECTROLIT KIWI.png","No matching item by name/description"
"ELECTROLIT LIMA.png","No matching item by name/description"
"ELECTROLIT MANZA.png","No matching item by name/description"
"ELECTROLIT MORA.png","No matching item by name/description"
"ELECTROLIT UVA.png","No matching item by name/description"
ELECTROLIT.png,"No matching item by name/description"
"ELOTE C.png","No matching item by name/description"
"ELOTE ENTERO CON.png","No matching item by name/description"
"ELOTITOS TIERNOS.png","No matching item by name/description"
"EMBASA CATSUP.png","No matching item by name/description"
"ENSALADA COL RAY.png","No matching item by name/description"
"ENSALADA ITALIAN.png","No matching item by name/description"
"ENSALADA LEGUMBR.png","No matching item by name/description"
"ENSALADA VERDURA L.png","No matching item by name/description"
"ENSALADERA DART.png","No matching item by name/description"
"ENSALADERA F17.png","No matching item by name/description"
"ENVASE TER 1_2LT.png","No matching item by name/description"
ENVIDIAS.png,"No matching item by name/description"
"ENVOLTURA D PLAS.png","No matching item by name/description"
ESCARCHADOR.png,"No matching item by name/description"
"ESENCIA AZAHAR.png","No matching item by name/description"
"ESENCIA COCO.png","No matching item by name/description"
"ESENCIA NUEZ.png","No matching item by name/description"
"ESPAGUETTI BARI.png","No matching item by name/description"
ESPALDILLA.png,"No matching item by name/description"
ESPARRAGOS.png,"No matching item by name/description"
"ESPINACA CONGE.png","No matching item by name/description"
"ESTRELLA D 1_2.png","No matching item by name/description"
EXTENSION.png,"No matching item by name/description"
"Elote blanco.png","No matching item by name/description"
"FABULOSO CAJA.png","No matching item by name/description"
FABULOSO.png,"No matching item by name/description"
"FALDA RES.png","No matching item by name/description"
"FASTA RUEDA.png","No matching item by name/description"
"FECULA MAIZ.png","No matching item by name/description"
"FECULA PAΡΑ.png","No matching item by name/description"
FETUCCINNI.png,"No matching item by name/description"
"FIBRA ESPONJA.png","No matching item by name/description"
"FIBRA METALICA.png","No matching item by name/description"
"FIBRA NEGRA.png","No matching item by name/description"
"FIBRA VERDE.png","No matching item by name/description"
"FIDEO ARROZ.png","No matching item by name/description"
"FILETE DE PESCAD.png","No matching item by name/description"
"FLORES COMESTIBL.png","No matching item by name/description"
"FOCA 4LT.png","No matching item by name/description"
FOCO.png,"No matching item by name/description"
FOLLAJE.png,"No matching item by name/description"
"FRAMBUESA BURB.png","No matching item by name/description"
"FRESA B.png","No matching item by name/description"
FRESA.png,"No matching item by name/description"
"FRIJ FLOR D JUN.png","No matching item by name/description"
"FRIJOL C.png","No matching item by name/description"
"FRIJOL PERUANO B.png","No matching item by name/description"
"FRIJOL PERUANO V.png","No matching item by name/description"
"FRIJOL PINTO VDE.png","No matching item by name/description"
"FRIJOL PINTO.png","No matching item by name/description"
"FRIJOL PREPARADO.png","No matching item by name/description"
"FRIJOLES ISADORA .png","No matching item by name/description"
FRIJOLT.png,"No matching item by name/description"
"FROOT LOOPS.png","No matching item by name/description"
"FRUTA V.png","No matching item by name/description"
FRUTAS.png,"No matching item by name/description"
"FRUTSI SURTIDO.png","No matching item by name/description"
"GALLE FLORENTINA.png","No matching item by name/description"
"GALLE PEKE PAKES.png","No matching item by name/description"
"GALLE SALADA 186.png","No matching item by name/description"
"GALLE TARTALETAS.png","No matching item by name/description"
"GALLETA CANELITA.png","No matching item by name/description"
"GALLETA CHIPS AH.png","No matching item by name/description"
"GALLETA CHOCO.png","No matching item by name/description"
"GALLETA CHOKIS.png","No matching item by name/description"
"GALLETA CRACKETS.png","No matching item by name/description"
